timestamp,open,high,low,close,volume,spread,real_volume,symbol,bar_type
2025-07-28 00:05:00,1.17537,1.17584,1.1752,1.1758,35,36,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:06:00,1.1758,1.17587,1.17539,1.1754,13,34,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:07:00,1.1754,1.1756,1.1754,1.1756,6,28,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:08:00,1.1756,1.1756199999999999,1.1755200000000001,1.1756,10,26,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:09:00,1.17561,1.17561,1.1756,1.1756,2,33,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:10:00,1.1756,1.17561,1.1756,1.17561,4,32,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:11:00,1.1756,1.17561,1.17549,1.17558,6,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:12:00,1.17557,1.17557,1.17544,1.17553,10,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:13:00,1.1755,1.1756,1.17548,1.1756,11,22,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:14:00,1.1756,1.17561,1.17557,1.1756,5,29,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:15:00,1.17561,1.17561,1.17559,1.1756,5,28,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:16:00,1.17561,1.17563,1.17561,1.17563,3,27,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:17:00,1.17563,1.17563,1.1756199999999999,1.1756199999999999,2,31,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:18:00,1.1756199999999999,1.17563,1.1756199999999999,1.1756199999999999,3,26,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:19:00,1.1756199999999999,1.17563,1.1756199999999999,1.1756199999999999,3,30,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:20:00,1.1756199999999999,1.1756199999999999,1.1756,1.17561,3,30,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:21:00,1.17561,1.17561,1.17561,1.17561,1,29,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:22:00,1.17561,1.1756199999999999,1.17561,1.1756199999999999,2,29,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:23:00,1.17561,1.17561,1.17557,1.17561,9,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:24:00,1.1756,1.1756,1.17559,1.1756,5,22,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:25:00,1.1756,1.1756,1.17558,1.17558,6,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:26:00,1.17556,1.17561,1.17556,1.17558,14,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:27:00,1.17558,1.17558,1.17555,1.17558,3,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:28:00,1.17558,1.1756,1.17556,1.17557,8,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:29:00,1.17558,1.17561,1.17557,1.17559,10,22,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:30:00,1.17561,1.17567,1.17556,1.17567,15,22,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:31:00,1.17572,1.17578,1.17566,1.17578,12,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:32:00,1.17588,1.17611,1.17572,1.17581,27,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:33:00,1.17581,1.17593,1.1755200000000001,1.1757900000000001,26,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:34:00,1.17582,1.17607,1.17574,1.17586,26,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:35:00,1.17587,1.17612,1.17582,1.17584,30,47,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:36:00,1.17593,1.17593,1.17581,1.1759,14,53,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:37:00,1.17591,1.1762299999999999,1.17591,1.1762299999999999,18,29,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:38:00,1.1762299999999999,1.1763,1.17606,1.17616,58,29,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:39:00,1.17616,1.17622,1.17586,1.17608,52,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:40:00,1.17608,1.1761300000000001,1.17599,1.17603,27,31,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:41:00,1.17593,1.17605,1.17593,1.17593,43,33,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:42:00,1.17593,1.17605,1.17593,1.17598,53,28,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:43:00,1.176,1.17608,1.17595,1.17595,22,37,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:44:00,1.17595,1.17605,1.17595,1.17597,16,42,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:45:00,1.17597,1.17601,1.17597,1.17601,6,42,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:46:00,1.17598,1.17608,1.17596,1.17605,7,42,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:47:00,1.17599,1.17606,1.17599,1.176,30,34,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:48:00,1.17601,1.17601,1.17601,1.17601,1,40,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:49:00,1.17601,1.17605,1.176,1.176,6,33,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:50:00,1.17608,1.17631,1.17603,1.1762299999999999,44,23,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:51:00,1.17626,1.17629,1.17626,1.17629,8,32,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:52:00,1.17629,1.17629,1.1759,1.17603,11,31,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:53:00,1.17603,1.17604,1.17603,1.17603,3,35,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:54:00,1.17602,1.17603,1.17602,1.17602,5,37,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:55:00,1.17602,1.17605,1.17601,1.17605,10,33,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:56:00,1.17603,1.17611,1.17603,1.17603,17,23,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:57:00,1.17605,1.17605,1.176,1.17604,12,32,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:58:00,1.17605,1.1761,1.17604,1.17606,15,26,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 00:59:00,1.17608,1.1761300000000001,1.17605,1.1761,27,26,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:00:00,1.17608,1.17627,1.17575,1.17595,149,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:01:00,1.17598,1.1768,1.17598,1.17678,110,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:02:00,1.17678,1.17678,1.1764000000000001,1.17641,43,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:03:00,1.17634,1.17655,1.1763,1.17649,50,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:04:00,1.17649,1.1764999999999999,1.17633,1.17647,53,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:05:00,1.17646,1.1764999999999999,1.17631,1.17632,86,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:06:00,1.17631,1.17631,1.17586,1.17594,51,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:07:00,1.17598,1.17599,1.17564,1.17565,34,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:08:00,1.17565,1.17575,1.17554,1.1756199999999999,42,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:09:00,1.17565,1.17569,1.17535,1.17541,35,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:10:00,1.17541,1.17541,1.17532,1.17535,25,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:11:00,1.17534,1.17551,1.17529,1.17547,31,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:12:00,1.17547,1.17548,1.17512,1.17522,45,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
2025-07-28 01:13:00,1.17522,1.17524,1.1751,1.17522,48,21,0,EURUSD,EURUSD-1-MINUTE-BID-EXTERNAL
